voltage,current
367, 58.3
337, 193.2
337, 203.7
337, 204.8
366, 65.0
338, 203.8
336, 180.8
336, 130.9
333, 132.5
336, 133.4
334, 129.9
327, 131.0
332, 130.3
339, 201.6
339, 132.5
333, 130.7
335, 130.0
338, 203.9
338, 56.4
337, 204.4
334, 131.9
336, 134.5
392, 122.8
341, 181.8
341, 202.2
337, 203.5
335, 131.9
335, 130.9
335, 134.0
371, 67.4
336, 133.5
334, 131.6
336, 204.2
337, 132.8
337, 201.4
335, 135.1
338, 196.4
338, 195.1
335, 181.3
335, 130.3
339, 129.1
335, 129.8
371, 129.3
338, 204.0
338, 203.2
339, 133.1
336, 131.4
337, 194.7
337, 192.5
342, 201.9
336, 196.5
338, 194.9
335, 131.7
334, 130.8
337, 197.0
338, 195.3
335, 130.9
337, 125.7
332, 131.1
381, 55.9
334, 130.4
334, 197.9
336, 195.6
330, 131.5
334, 130.5
377, 132.2
333, 57.2
378, 121.8
363, 132.5
362, 131.6
365, 65.2
339, 130.1
339, 130.3
337, 125.0
337, 202.8
377, 138.2
327, 129.7
334, 132.7
338, 202.8
368, 120.3
373, 149.1
340, 126.9
377, 44.6
337, 203.3
368, 45.0
373, 154.5
331, 124.4
367, 107.4
375, 169.5
356, 45.1
335, 133.5
337, 201.4
338, 126.5
336, 202.8
336, 146.2
337, 203.8
375, 121.8
370, 77.8
337, 204.4
337, 195.4
337, 203.3
337, 203.4
338, 203.2
338, 206.7
338, 204.9
334, 131.8
336, 82.7
338, 92.4
399, 70.3
396, 141.5
401, 115.1
353, 176.7
373, 170.2
337, 204.4
332, 199.3
336, 196.8
341, 203.8
377, 132.5
337, 204.4
403, 62.3
373, 153.8
337, 203.8
335, 134.6
398, 51.0
362, 50.2
347, 61.0
335, 133.0
337, 196.5
336, 195.1
337, 194.7
337, 203.0
338, 203.6
331, 130.5
335, 130.1
337, 195.5
340, 202.9
329, 130.8
399, 71.2
341, 201.3
335, 131.1
333, 131.2
336, 196.2
335, 130.7
328, 131.8
338, 204.5
335, 132.2
335, 196.1
335, 131.4
337, 195.5
336, 195.5
336, 199.0
335, 133.9
337, 195.2
375, 149.9
337, 203.4
337, 197.0
339, 204.3
334, 201.2
336, 195.6
337, 194.2
330, 130.2
336, 181.2
333, 130.5
337, 194.8
341, 204.5
337, 181.2
397, 127.0
335, 133.7
335, 133.0
332, 131.6
373, 51.0
369, 150.7
338, 204.3
375, 152.7
335, 133.0
337, 203.4
335, 130.3
336, 195.8
337, 192.8
337, 132.4
335, 132.0
337, 194.5
375, 80.5
334, 130.3
402, 77.2
337, 181.0
335, 133.4
335, 130.6
333, 130.8
384, 97.0
335, 131.3
337, 127.6
336, 85.9
387, 102.6
335, 196.5
329, 129.8
330, 129.8
337, 194.6
336, 131.8
337, 194.8
369, 71.0
339, 134.1
335, 204.2
335, 182.1
372, 154.1
335, 131.8
332, 131.2
332, 199.5
340, 194.1
335, 133.3
368, 132.1
369, 132.1
335, 129.5
337, 126.6
337, 195.1
340, 121.3
335, 131.2
370, 132.0
330, 130.6
337, 194.6
338, 195.3
339, 101.1
342, 101.1
343, 101.6
343, 101.0
344, 101.2
340, 101.2
342, 101.3
342, 101.7
341, 101.7
338, 101.1
342, 102.9
337, 195.7
336, 203.3
335, 132.6
335, 132.4
335, 130.9
368, 126.4
335, 131.5
372, 167.8
338, 201.5
335, 131.5
383, 203.5
